No	Mag	X	Y
0489	11.86	251.17	-115.85
0490	13.07	249.96	-162.06
0491	12.46	254.32	-191.45
0492	12.12	253.38	-294.07
0493	10.94	252.71	-145.25
0494	12.12	256.00	-249.05
0495	9.97	258.59	-196.83
0496	9.60	260.62	-330.05
0497	13.50	264.77	-307.83
0498	11.78	264.10	-165.00
0499	11.07	264.30	90.03
0500	12.22	267.52	-292.21
0501	13.36	266.69	-116.98
0502	12.12	265.72	88.84
0503	13.28	270.59	-340.81
0504	13.34	271.84	-306.60
0505	12.86	272.68	102.07
0506	13.64	274.26	-221.96
0507	13.00	273.45	-55.74
0508	10.78	277.79	-77.32
0509	13.07	283.02	-277.13
0510	12.76	284.73	-55.69
0511	13.58	285.26	-160.70
0512	12.26	286.08	-322.13
0513	11.74	292.89	-269.28
0514	12.34	294.76	-86.24
0515	10.14	298.14	73.40
0516	12.38	298.92	-74.21
0517	12.30	301.52	-32.20
0518	12.86	303.77	-188.21
0519	13.00	309.98	-32.75
0520	12.62	316.59	-207.34
0521	12.26	318.43	-282.35
0522	12.77	322.51	-254.12
0523	12.85	323.97	-15.27
0524	10.50	324.47	-101.68
0525	12.76	331.84	-155.04
0526	12.36	332.54	-35.02
0527	13.27	334.65	-153.83
0528	12.18	335.84	-116.01
0529	14.05	338.33	-60.79
0530	12.26	342.24	-240.21
0531	12.26	349.80	-91.93
0532	12.57	-324.64	-132.28
0533	11.59	-320.57	-161.11
0534	7.51	-320.33	126.33
0535	12.65	-303.69	86.03
0536	9.45	-301.90	-368.87
0537	11.65	-279.98	48.10
0538	8.65	-276.54	-398.41
0539	11.18	-278.70	-263.35
0540	11.03	-243.14	106.14
0541	10.66	-213.02	-480.91
0542	11.72	-164.27	161.65
0543	11.45	-154.31	208.43
0544	12.44	-110.82	211.32
0545	12.63	19.89	-516.71
0546	11.62	44.02	-472.87
0547	11.99	49.69	-463.86
0548	10.01	262.68	137.43
0549	10.12	314.99	-425.83
0550	12.37	317.89	63.91
0551	12.67	328.98	-392.14
0552	8.38	330.10	-341.71
0553	10.15	341.98	34.05
0556	10.49	389.34	-97.07
0557	10.38	399.25	-101.80
0559	14.03	-133.88	-46.04
0560	13.96	-95.63	69.08
0561	14.42	-85.86	19.27
0563	16.11	-76.13	-73.75
0564	17.12	-70.38	11.45
0566	14.95	-68.96	29.44
0568	14.12	-52.25	-164.38
0569	15.20	-38.06	-62.39
0570	15.35	-32.38	0.61
0571	15.41	-32.38	13.81
0572	14.57	1.42	-83.40
0573	16.06	14.10	-86.40
0574	13.63	91.56	-19.13
0575	14.30	99.94	18.09
0576	13.71	101.54	-86.31
0577	14.68	111.05	94.31
0701	15.58	-677.69	-246.88
0702	15.09	-675.25	-398.24
0703	14.34	-672.13	-255.95
0704	11.00	-666.65	-633.22
0705	14.12	-664.55	-575.56
0706	9.06	-660.79	-497.50
0707	13.03	-648.14	-17.27
0708	15.63	-644.72	-584.78
0709	15.98	-634.98	-605.31
0710	12.34	-626.92	-10.91
0711	14.69	-620.59	-592.84
0712	12.92	-616.32	-462.53
0713	13.11	-611.32	-3.28
0714	15.84	-611.34	-395.92
0715	13.23	-607.69	-451.81
0716	13.54	-597.93	-469.92
0717	8.33	-596.72	-354.63
0718	13.98	-575.28	-200.55
0719	15.78	-566.45	-306.30
0720	16.19	-566.55	-458.82
0721	15.79	-561.47	-232.50
0722	14.55	-557.92	-592.24
0723	15.29	-553.04	-529.21
0724	11.79	-552.43	-613.31
0725	16.32	-549.17	-278.25
0726	14.68	-541.83	-547.33
0727	15.84	-527.43	-73.75
0728	15.27	-516.12	-225.12
0729	16.15	-512.66	-1.26
0731	16.43	-512.00	-239.56
0733	14.13	-499.15	-66.20
0735	13.27	-479.43	-70.58
0737	15.29	-465.22	-573.19
0739	16.06	-449.73	-594.32
0740	16.45	-448.65	-638.18
0741	16.51	-445.62	-434.01
0742	13.75	-426.26	-502.60
0743	10.81	-426.73	-565.66
0744	16.38	-417.33	-641.41
0745	16.46	-411.07	-368.82
0747	14.75	-399.51	-138.41
0748	15.38	-382.80	-381.61
0749	15.72	-379.80	-357.62
0751	14.74	-363.59	-42.63
0752	16.24	-360.46	-659.78
0755	14.86	-338.11	-24.79
0756	16.61	-332.53	-273.27
0757	15.21	-333.56	-447.35
0758	15.72	-328.34	-40.45
0760	15.41	-324.69	-635.95
0762	16.23	-312.94	-570.55
0763	15.61	-305.81	-44.77
0765	14.74	-298.99	-353.88
0766	16.40	-297.26	-26.82
0767	16.24	-298.49	-259.65
0768	14.86	-292.99	-289.69
0770	14.00	-285.02	-394.17
0771	12.95	-278.49	-507.67
0774	16.63	-275.77	-242.36
0777	15.72	-271.94	-623.59
