No	Mag	X	Y
1380	13.66	-74.55	510.75
1381	16.53	-72.89	731.75
1382	15.57	-68.87	453.11
1383	12.17	-66.68	-295.19
1386	11.21	-55.10	-325.21
1390	15.70	-40.71	-510.69
1391	15.30	-33.85	-1416.41
1395	11.38	-29.05	-447.06
1397	15.43	-18.61	621.19
1398	15.70	-17.61	-1185.10
1404	10.51	-7.33	-1144.17
1407	10.47	8.78	-981.14
1408	17.73	10.24	-979.33
1409	12.07	11.52	195.01
1413	11.05	15.92	-175.80
1419	13.37	27.47	-93.60
1420	13.05	34.41	496.90
1422	17.75	37.94	-784.57
1424	15.33	38.70	520.92
1428	18.65	44.51	405.67
1431	16.64	51.07	-783.96
1432	15.91	50.96	-627.78
1434	15.34	50.05	696.28
1445	15.71	60.67	-41.38
1449	10.62	66.36	60.63
1451	13.99	69.17	140.44
1461	15.44	93.19	-625.34
1463	15.58	218.83	-1260.71
1466	14.84	98.67	689.13
1474	17.73	111.96	418.95
1478	15.38	117.92	285.72
1479	14.99	119.80	15.10
1480	11.53	125.49	-783.88
1482	14.99	133.70	-484.78
1483	15.48	133.05	-124.68
1486	12.10	135.91	661.57
1490	14.01	153.63	400.42
1492	16.63	155.65	797.39
1496	15.44	170.44	-1297.56
1502	11.97	174.59	44.01
1503	13.83	174.12	240.23
1506	15.40	178.47	810.67
1512	14.29	184.35	175.44
1516	10.05	187.41	-457.06
1522	17.37	193.62	-62.15
1526	15.51	200.78	485.79
1528	14.59	206.68	-595.11
1529	12.36	205.60	-210.33
1531	12.75	206.89	-155.72
1533	15.95	206.46	506.82
1537	14.70	218.83	-1260.71
1538	13.70	215.38	-586.08
1543	13.56	227.16	-1104.17
1545	10.02	226.28	587.35
1550	7.57	237.60	-706.74
1559	12.80	262.83	380.95
1564	15.15	281.90	-1239.47
1568	16.29	284.95	-509.60
1574	15.58	308.05	-1170.14
1575	14.46	302.18	591.86
1578	9.95	301.74	695.77
1579	16.44	310.68	-1099.11
1581	14.84	314.00	-501.09
1582	16.05	314.23	-554.53
1583	17.48	315.52	486.23
1588	11.21	331.64	-1195.95
1595	16.98	336.93	-429.55
1599	16.39	343.07	119.62
1606	13.91	365.65	-1247.62
1607	13.99	367.28	-1280.14
1610	15.13	372.96	195.39
1616	15.80	395.40	-1317.38
1617	16.85	388.38	275.30
1619	15.94	398.14	-465.29
1620	14.91	392.23	627.17
1622	11.89	393.42	671.63
1626	13.85	407.38	222.59
1627	9.54	404.88	668.69
1628	16.27	413.79	-664.00
1630	13.34	424.31	-1231.11
1634	15.99	415.23	861.67
1637	12.27	424.75	-292.25
1638	12.13	424.97	-80.38
1641	14.78	436.63	-1328.65
1647	11.32	442.94	-421.82
1657	15.25	450.78	652.77
1659	14.12	469.76	-1218.24
1663	16.11	466.71	-277.61
1670	10.34	468.86	512.95
1673	13.96	472.04	684.77
1674	15.45	478.83	740.10
1676	15.92	489.02	-580.70
1677	11.01	493.18	-986.39
1681	12.93	503.87	635.14
1682	11.07	518.86	-1309.56
1683	15.05	526.60	-1364.37
1685	14.47	517.50	330.17
1686	12.25	517.08	590.19
1687	15.37	530.34	-1269.73
1688	13.58	527.36	-647.74
1690	17.90	527.57	329.05
1693	13.47	538.78	-415.23
1701	14.31	559.36	122.19
1707	15.76	569.32	872.49
1709	13.18	584.15	-1009.91
1710	10.05	583.69	-216.17
1713	8.35	587.42	41.38
1714	15.55	600.40	-1390.47
1718	12.59	604.97	-690.48
1721	16.11	592.80	793.95
1722	14.20	611.51	-1130.71
1726	15.14	609.23	368.15
1728	14.51	622.00	-290.32
1731	12.58	634.71	-586.90
1734	16.36	631.42	791.31
1735	15.85	638.27	171.48
1739	13.74	646.42	872.03
1741	9.80	671.58	-1120.06
1742	12.15	666.18	-522.37
1743	14.73	671.52	-790.36
1750	12.38	679.47	-228.59
1751	7.95	669.56	686.51
1760	15.09	727.26	-961.93
1763	16.13	748.36	-159.49
1764	14.57	758.56	-587.06
1765	10.29	746.92	404.35
1766	16.47	767.10	-1131.96
1768	15.79	765.86	-870.15
1771	8.90	775.24	-1349.44
1775	16.77	782.96	-414.99
1776	14.91	789.80	-919.87
1777	16.30	784.67	102.69
2001	12.08	-5278.54	4547.14
2002	9.73	-5202.51	-841.45
2004	9.72	-4127.29	5366.88
