# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Sun Dec  8 07:25:57 CET 2019
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: <i>UBVRIJHK</i> (cf. Maiz-Apellaniz 2006 + Bessell 1990)
# Attention: photometry includes extinction of Av=0.1, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  Umag    Bmag    Vmag    Rmag    Imag    Jmag    Hmag    Kmag
0.01471 0.00000 9.84510 0.9746462107 2.4674491882    0.974  0.075  3.7666  4.370    1  0.000  0.536     0.00     0.00 -1 -9.86e-14      0.00 7.586e-01 2.288e-01 2.230e-03 6.101e-04 5.551e-03 -1.000 1.263e-02 4.582 5.605 5.406 4.727 4.320 3.979 3.544 3.208 3.162
0.01471 0.00000 9.84510 0.9936230779 2.4715707302    0.993  0.135  3.7707  4.335    1  0.000  0.535     0.00     0.00 -1 -1.17e-13      0.00 7.619e-01 2.256e-01 2.203e-03 6.030e-04 5.488e-03 -1.000 1.248e-02 4.432 5.399 5.229 4.568 4.173 3.838 3.413 3.086 3.042
0.01471 0.00000 9.84510 1.0000000000 2.4729156494    1.000  0.155  3.7719  4.322    1  0.000  0.535     0.00     0.00 -1 -1.24e-13      0.00 7.631e-01 2.245e-01 2.194e-03 6.006e-04 5.466e-03 -1.000 1.244e-02 4.382 5.334 5.172 4.516 4.124 3.791 3.369 3.045 3.001
0.01471 0.00000 9.84510 1.0033476353 2.4736137390    1.003  0.166  3.7725  4.315    1  0.000  0.535     0.00     0.00 -1 -1.27e-13      0.00 7.638e-01 2.238e-01 2.188e-03 5.989e-04 5.451e-03 -1.000 1.241e-02 4.356 5.301 5.142 4.489 4.098 3.766 3.346 3.023 2.980
0.01471 0.00000 9.84510 1.0131305456 2.4756233692    1.012  0.196  3.7738  4.295    1  0.000  0.535     0.00     0.00 -1 -1.37e-13      0.00 7.660e-01 2.217e-01 2.171e-03 5.944e-04 5.411e-03 -1.000 1.232e-02 4.280 5.208 5.058 4.411 4.024 3.694 3.277 2.957 2.914
0.01471 0.00000 9.84510 1.0287266970 2.4787364006    1.028  0.246  3.7757  4.258    1  0.000  0.535     0.00     0.00 -1 -1.55e-13      0.00 7.687e-01 2.191e-01 2.150e-03 5.887e-04 5.360e-03 -1.000 1.221e-02 4.154 5.057 4.919 4.281 3.899 3.572 3.161 2.845 2.803
0.01471 0.00000 9.84510 1.0412349701 2.4811556339    1.040  0.290  3.7771  4.226    1  0.000  0.535     0.00     0.00 -1 -1.74e-13      0.00 7.693e-01 2.185e-01 2.146e-03 5.876e-04 5.350e-03 -1.000 1.220e-02 4.046 4.932 4.802 4.171 3.792 3.468 3.060 2.748 2.706
0.01471 0.00000 9.84510 1.0499999523 2.4828116894    1.049  0.321  3.7777  4.200    1  0.000  0.535     0.00     0.00 -1 -1.89e-13      0.00 7.692e-01 2.186e-01 2.148e-03 5.881e-04 5.354e-03 -1.000 1.219e-02 3.967 4.846 4.719 4.091 3.714 3.391 2.984 2.673 2.632
0.01471 0.00000 9.84510 1.0514956713 2.4830911160    1.050  0.327  3.7778  4.196    1  0.000  0.535     0.00     0.00 -1 -1.91e-13      0.00 7.693e-01 2.185e-01 2.147e-03 5.880e-04 5.353e-03 -1.000 1.218e-02 3.954 4.831 4.704 4.077 3.701 3.378 2.971 2.660 2.619
0.01471 0.00000 9.84510 1.0612274408 2.4848868847    1.060  0.363  3.7778  4.163    1  0.000  0.535     0.00     0.00 -1 -2.12e-13      0.00 7.694e-01 2.184e-01 2.149e-03 5.884e-04 5.358e-03 -1.000 1.221e-02 3.862 4.737 4.611 3.985 3.609 3.286 2.880 2.569 2.528
0.01471 0.00000 9.84510 1.0694681406 2.4863781929    1.068  0.395  3.7774  4.133    1  0.000  0.535     0.00     0.00 -1 -2.32e-13      0.00 7.688e-01 2.189e-01 2.156e-03 5.905e-04 5.377e-03 -1.000 1.225e-02 3.782 4.662 4.533 3.905 3.528 3.205 2.798 2.486 2.445
0.01471 0.00000 9.84510 1.0797702074 2.4882056713    1.078  0.436  3.7761  4.091    1  0.000  0.534     0.00     0.00 -1 -2.62e-13      0.00 7.671e-01 2.205e-01 2.174e-03 5.955e-04 5.423e-03 -1.000 1.238e-02 3.679 4.574 4.437 3.805 3.426 3.100 2.689 2.375 2.333
0.01471 0.00000 9.84510 1.0887638330 2.4897687435    1.087  0.473  3.7731  4.045    2  0.000  0.534     0.00     0.00 -1 -2.95e-13      0.00 7.614e-01 2.259e-01 2.225e-03 6.095e-04 5.551e-03 -1.000 1.264e-02 3.587 4.517 4.362 3.717 3.332 3.002 2.582 2.261 2.218
0.01471 0.00000 9.84510 1.0968858004 2.4911549091    1.095  0.505  3.7679  3.997    2  0.000  0.535     0.00     0.00 -1  -3.3e-13      0.00 7.535e-01 2.335e-01 2.291e-03 6.275e-04 5.713e-03 -1.000 1.298e-02 3.509 4.498 4.313 3.647 3.250 2.912 2.479 2.147 2.101
0.01471 0.00000 9.84510 1.1000000238 2.4916803837    1.098  0.516  3.7654  3.976    2  0.000  0.535     0.00     0.00 -1 -3.45e-13      0.00 7.499e-01 2.369e-01 2.321e-03 6.355e-04 5.785e-03 -1.000 1.314e-02 3.480 4.502 4.300 3.624 3.221 2.879 2.438 2.101 2.054
0.01471 0.00000 9.84510 1.1063786745 2.4927456379    1.105  0.532  3.7560  3.925    2  0.000  0.536     0.00     0.00 -1 -3.75e-13      0.00 7.402e-01 2.463e-01 2.398e-03 6.563e-04 5.969e-03 -1.000 1.356e-02 3.440 4.583 4.318 3.604 3.179 2.821 2.355 1.996 1.945
0.01471 0.00000 9.84510 1.1102845669 2.4933910370    1.109  0.529  3.7453  3.887    2  0.000  0.536     0.00     0.00 -1 -3.87e-13      0.00 7.326e-01 2.535e-01 2.455e-03 6.717e-04 6.106e-03 -1.000 1.388e-02 3.447 4.742 4.395 3.637 3.187 2.812 2.315 1.930 1.875
0.01471 0.00000 9.84510 1.1126388311 2.4937775135    1.111  0.518  3.7353  3.859    2  0.000  0.536     0.00     0.00 -1 -3.88e-13      0.00 7.279e-01 2.581e-01 2.490e-03 6.811e-04 6.190e-03 -1.000 1.407e-02 3.475 4.913 4.488 3.694 3.219 2.829 2.303 1.892 1.833
0.01471 0.00000 9.84510 1.1142822504 2.4940459728    1.112  0.509  3.7269  3.835    2  0.000  0.537     0.00     0.00 -1  -3.9e-13      0.00 7.249e-01 2.609e-01 2.512e-03 6.870e-04 6.241e-03 -1.000 1.420e-02 3.497 5.064 4.572 3.744 3.249 2.845 2.292 1.859 1.797
0.01471 0.00000 9.84510 1.1158354282 2.4942991734    1.114  0.507  3.7188  3.805    2  0.000  0.537     0.00     0.00 -1 -3.99e-13      0.00 7.224e-01 2.633e-01 2.529e-03 6.916e-04 6.282e-03 -1.000 1.429e-02 3.502 5.197 4.637 3.779 3.263 2.845 2.266 1.811 1.746
0.01471 0.00000 9.84510 1.1176941395 2.4946010113    1.116  0.519  3.7103  3.760    2  0.000  0.537     0.00     0.00 -1 -4.29e-13      0.00 7.197e-01 2.659e-01 2.546e-03 6.961e-04 6.322e-03 -1.000 1.437e-02 3.473 5.308 4.674 3.784 3.246 2.813 2.205 1.726 1.658
0.01471 0.00000 9.84510 1.1195052862 2.4948940277    1.118  0.547  3.7037  3.707    2  0.000  0.537     0.00     0.00 -1 -4.84e-13      0.00 7.171e-01 2.684e-01 2.560e-03 6.998e-04 6.353e-03 -1.000 1.443e-02 3.404 5.350 4.659 3.744 3.188 2.743 2.114 1.615 1.544
0.01471 0.00000 9.84510 1.1200213432 2.4949772358    1.118  0.557  3.7022  3.690    2  0.000  0.537     0.00     0.00 -1 -5.05e-13      0.00 7.164e-01 2.692e-01 2.563e-03 7.007e-04 6.362e-03 -1.000 1.445e-02 3.377 5.348 4.646 3.724 3.164 2.716 2.082 1.579 1.507
0.01471 0.00000 9.84510 1.1205600500 2.4950640202    1.119  0.571  3.7011  3.671    2  0.000  0.537     0.00     0.00 -1 -5.33e-13      0.00 7.155e-01 2.700e-01 2.565e-03 7.017e-04 6.368e-03 -1.000 1.445e-02 3.341 5.331 4.619 3.693 3.130 2.681 2.042 1.536 1.464
