angDist,_RAJ2000,_DEJ2000,FTS,WEBDA,RAJ2000,DEJ2000,u'mag,g'mag,r'mag,i'mag,z'mag,Mm,Comm,PKM,_RAJ2000,_DEJ2000,PKM,RAJ2000,DEJ2000,pmRA,pmDE,MProb,Vmag,B-V,ICode
0.945328,12.487125,85.166667,56,,00 49 56.91,+85 10 00,16.018,14.804,14.379,14.224,14.161,0,,PKM,12.48569,85.1669001,5485,12.48569,85.1669,7.95,-2.72,0,14.52,0.623,
0.857828,11.805583,85.2775,57,1032,00 47 13.34,+85 16 39,16.134,14.801,14.382,14.263,14.207,98,,PKM,11.8055055,85.2777382,4970,11.8055055,85.277738,-5.66,-0.59,98,14.524,0.622,
0.394389,11.580167,85.327222,58,,00 46 19.24,+85 19 38,16.98,15.108,14.385,14.086,13.88,0,,PKM,11.5805897,85.327326,4537,11.5805897,85.327326,-8.34,1.83,0,14.677,0.946,
0.313248,11.487583,85.206389,59,1114,00 45 57.02,+85 12 23,16.301,14.937,14.433,14.264,14.252,96,,PKM,11.487228,85.2064708,4710,11.487228,85.206471,-4.74,-0.57,96,14.852,0.687,
0.483288,11.768458,85.275833,60,4668,00 47 04.43,+85 16 33,16.443,14.958,14.435,14.273,14.183,0,,PKM,11.768501,85.2759672,4976,11.768501,85.275967,-2.47,0.47,0,14.694,0.728,D
0.758884,11.851208,85.330278,61,,00 47 24.29,+85 19 49,16.661,15.022,14.451,14.169,13.962,93,,PKM,11.8512882,85.3304887,4907,11.8512882,85.330489,-4.75,0.01,93,14.927,0.762,D
0.175021,11.9625,85.224722,62,1093,00 47 51.00,+85 13 29,16.361,14.953,14.459,14.298,14.223,98,,PKM,11.9619768,85.2247436,5080,11.9619768,85.224744,-5.52,-0.57,98,14.625,0.704,
0.650404,12.397667,85.179444,63,,00 49 35.44,+85 10 46,17.456,15.272,14.482,14.209,14.071,98,,PKM,12.3965086,85.1795962,5470,12.3965086,85.179596,-5.4,-0.49,98,14.769,1.05,
0.198605,11.385167,85.293889,64,,00 45 32.44,+85 17 38,16.471,15.005,14.503,14.347,14.225,97,,PKM,11.384939,85.2939409,4580,11.384939,85.293941,-5.51,-0.86,97,14.928,0.72,
0.271372,11.5765,85.159444,65,,00 46 18.36,+85 09 34,16.285,15.015,14.521,14.327,14.288,0,,PKM,11.5756474,85.1594665,4755,11.5756474,85.159466,13.59,7.53,0,14.699,0.703,
0.744074,12.227542,85.21,66,2151,00 48 54.61,+85 12 36,16.105,14.869,14.527,14.366,14.256,97,,PKM,12.2268775,85.2101991,5434,12.2268775,85.210199,-5.62,-0.16,97,14.687,0.526,
1.005027,13.036458,85.288333,67,,00 52 08.75,+85 17 18,18.344,15.817,14.559,13.925,13.57,0,,PKM,13.0357822,85.2886066,5644,13.0357822,85.288607,19.86,25.81,0,15.165,1.433,
0.363106,12.524042,85.165,68,,00 50 05.77,+85 09 54,16.421,15.049,14.581,14.412,14.319,98,,PKM,12.5230491,85.1650563,5489,12.5230491,85.165056,-5.17,-0.3,98,14.74,0.684,
0.790314,13.157917,85.176111,69,,00 52 37.90,+85 10 34,16.428,15.091,14.591,14.408,14.307,97,,PKM,13.1564208,85.1762909,5762,13.1564208,85.176291,-5.02,-0.16,97,14.771,0.682,
0.911194,11.053042,85.233889,70,,00 44 12.73,+85 14 02,16.264,15.06,14.618,14.463,14.411,0,,PKM,11.0526057,85.2341395,4672,11.0526057,85.234139,-2.7,3.57,0,14.771,0.616,
0.551300,11.133167,85.306389,71,,00 44 31.96,+85 18 23,17.093,15.41,14.621,14.272,14.079,0,,PKM,11.131734,85.3064875,5979,11.131734,85.306488,0.0,0.0,0,15.617,0.686,D
0.295599,11.399375,85.295278,72,,00 45 35.85,+85 17 43,16.527,15.141,14.623,14.47,14.42,92,,PKM,11.3993912,85.2953601,4577,11.3993912,85.29536,-4.67,-0.04,92,15.157,0.683,
0.435966,11.26375,85.235278,73,,00 45 03.30,+85 14 07,16.899,15.239,14.625,14.365,14.235,0,,PKM,11.2631402,85.235388,4666,11.2631402,85.235388,-6.54,0.98,0,15.998,0.694,D
1.098568,11.13475,85.306667,74,,00 44 32.34,+85 18 24,17.059,15.411,14.626,14.273,14.078,0,,PKM,11.131734,85.3064875,5979,11.131734,85.306488,0.0,0.0,0,15.617,0.686,D
1.684967,11.13475,85.306667,74,,00 44 32.34,+85 18 24,17.059,15.411,14.626,14.273,14.078,0,,PKM,11.1367239,85.3071063,5978,11.1367239,85.307106,2.98,6.88,0,15.949,1.305,D
1.318976,11.168708,85.255556,75,,00 44 40.49,+85 15 20,16.702,15.183,14.64,14.428,14.351,98,,PKM,11.1685683,85.2559222,4630,11.1685683,85.255922,-5.64,-0.64,98,14.989,0.781,
1.077658,11.356,85.176944,76,,00 45 25.44,+85 10 37,17.224,15.434,14.649,14.363,14.203,98,,PKM,11.3552265,85.1772362,4734,11.3552265,85.177236,-5.39,-0.62,98,14.953,1.007,
0.697623,12.658042,85.197222,77,2158,00 50 37.93,+85 11 50,16.635,15.172,14.653,14.47,14.42,98,,PKM,12.6568205,85.1973866,5454,12.6568205,85.197387,-5.19,-0.3,98,14.821,0.746,
0.603516,11.440417,85.303333,78,,00 45 45.70,+85 18 12,17.474,15.459,14.658,14.002,13.21,84,a,PKM,11.4400415,85.3034978,4563,11.4400415,85.303498,-4.66,0.37,84,16.478,0.705,
0.409522,11.419083,85.233889,79,,00 45 40.58,+85 14 02,16.719,15.214,14.684,14.498,14.415,98,,PKM,11.4184793,85.2339911,4673,11.4184793,85.233991,-5.64,-0.62,98,14.886,0.736,
