# File generated by CMD 3.3 (http://stev.oapd.inaf.it/cmd) on Sun Dec  8 23:56:03 CET 2019
# isochrones based on PARSEC release v1.2S +  COLIBRI S_35
# Basic references: Bressan et al. (2012), MNRAS, 427, 127 + Chen et al. (2014, 2015), MNRAS, 444, 2525 + MNRAS, 452, 1068 + Tang et al. (2014), MNRAS, 445, 4287 + Marigo et al. (2017), ApJ, 835, 77 + Pastorelli al. (2019), MNRAS in press
# Thermal pulse cycles included 
# On RGB, assumed Reimers mass loss with efficiency eta=0.2
# Photometric system: SDSS <i>ugriz</i>
# Attention: photometry includes extinction of Av=0.2, with coefficients derived star-by-star, for Cardelli et al 89 + O'Donnell 94 Rv=3.1 extinction curve.
# Using YBC version of bolometric corrections as in Chen et al. (2019)
# O-rich circumstellar dpmod60alox40 dust from Groenewegen (2006)
# C-rich circumstellar AMCSIC15 dust from Groenewegen (2006)
# IMF: Kroupa (2001, 2002) + Kroupa et al. (2013) canonical two-part-power law IMF corrected for unresolved binaries 
# Kind of output: isochrone tables
# Zini     MH   logAge Mini        int_IMF         Mass   logL    logTe  logg  label   McoreTP C_O  period0 period1 pmode  Mloss  tau1m   X   Y   Xc  Xn  Xo  Cexcess  Z 	 mbolmag  umag    gmag    rmag    imag    zmag
0.01471 0.00000 9.84510 1.1205600500 2.4950640202    1.119  0.571  3.7011  3.671    2  0.000  0.537     0.00     0.00 -1 -5.33e-13      0.00 7.155e-01 2.700e-01 2.565e-03 7.017e-04 6.368e-03 -1.000 1.445e-02 3.341 6.316 4.272 3.464 3.218 3.082
0.01471 0.00000 9.84510 1.1221131086 2.4953138828    1.120  0.616  3.6981  3.615    3  0.000  0.535     0.00     0.00 -1 -6.26e-13      0.00 7.128e-01 2.727e-01 2.563e-03 7.068e-04 6.387e-03 -1.000 1.449e-02 3.229 6.253 4.181 3.360 3.109 2.968
0.01471 0.00000 9.84510 1.1233519316 2.4955124855    1.121  0.657  3.6962  3.567    3  0.000  0.529     0.00     0.00 -1 -7.24e-13      0.00 7.102e-01 2.752e-01 2.539e-03 7.252e-04 6.399e-03 -1.000 1.456e-02 3.127 6.182 4.092 3.263 3.009 2.865
0.01471 0.00000 9.84510 1.1247932911 2.4957430363    1.123  0.709  3.6943  3.508    3  0.000  0.513     0.00     0.00 -1  -8.7e-13      0.00 7.068e-01 2.786e-01 2.465e-03 7.965e-04 6.412e-03 -1.000 1.463e-02 2.997 6.082 3.976 3.139 2.881 2.734
0.01471 0.00000 9.84510 1.1258590221 2.4959132671    1.124  0.752  3.6929  3.461    3  0.000  0.494     0.00     0.00 -1 -1.01e-12      0.00 7.040e-01 2.813e-01 2.377e-03 8.997e-04 6.419e-03 -1.000 1.464e-02 2.890 5.999 3.879 3.036 2.776 2.626
0.01471 0.00000 9.84510 1.1270532608 2.4961032867    1.125  0.803  3.6914  3.404    3  0.000  0.474     0.00     0.00 -1 -1.21e-12      0.00 7.010e-01 2.843e-01 2.283e-03 1.017e-03 6.426e-03 -1.000 1.466e-02 2.762 5.899 3.762 2.912 2.648 2.496
0.01471 0.00000 9.84510 1.1279644966 2.4962480068    1.126  0.846  3.6902  3.356    3  0.000  0.461     0.00     0.00 -1 -1.41e-12      0.00 6.988e-01 2.865e-01 2.225e-03 1.091e-03 6.431e-03 -1.000 1.466e-02 2.654 5.815 3.664 2.807 2.542 2.388
0.01471 0.00000 9.84510 1.1288156509 2.4963829517    1.127  0.890  3.6889  3.308    3  0.000  0.452     0.00     0.00 -1 -1.65e-12      0.00 6.968e-01 2.885e-01 2.181e-03 1.147e-03 6.434e-03 -1.000 1.467e-02 2.546 5.732 3.566 2.704 2.435 2.279
0.01471 0.00000 9.84510 1.1295557022 2.4965000153    1.127  0.931  3.6877  3.262    3  0.000  0.446     0.00     0.00 -1  -1.9e-12      0.00 6.954e-01 2.899e-01 2.151e-03 1.185e-03 6.436e-03 -1.000 1.470e-02 2.444 5.654 3.474 2.605 2.334 2.176
0.01471 0.00000 9.84510 1.1304446459 2.4966406822    1.128  0.984  3.6859  3.202    3  0.000  0.440     0.00     0.00 -1  -2.3e-12      0.00 6.939e-01 2.914e-01 2.124e-03 1.220e-03 6.439e-03 -1.000 1.470e-02 2.311 5.556 3.356 2.478 2.203 2.042
0.01471 0.00000 9.84510 1.1310636997 2.4967381954    1.129  1.024  3.6845  3.156    3  0.000  0.436     0.00     0.00 -1 -2.66e-12      0.00 6.929e-01 2.923e-01 2.108e-03 1.240e-03 6.440e-03 -1.000 1.471e-02 2.209 5.483 3.267 2.381 2.103 1.940
0.01471 0.00000 9.84510 1.1317801476 2.4968512058    1.130  1.075  3.6826  3.098    3  0.000  0.433     0.00     0.00 -1 -3.19e-12      0.00 6.921e-01 2.932e-01 2.094e-03 1.258e-03 6.442e-03 -1.000 1.474e-02 2.082 5.394 3.155 2.260 1.978 1.811
0.01471 0.00000 9.84510 1.1323138475 2.4969351292    1.130  1.116  3.6810  3.051    3  0.000  0.432     0.00     0.00 -1  -3.7e-12      0.00 6.916e-01 2.937e-01 2.086e-03 1.268e-03 6.442e-03 -1.000 1.472e-02 1.979 5.325 3.066 2.162 1.877 1.707
0.01471 0.00000 9.84510 1.1329126358 2.4970293045    1.131  1.167  3.6789  2.992    3  0.000  0.430     0.00     0.00 -1 -4.44e-12      0.00 6.912e-01 2.941e-01 2.080e-03 1.277e-03 6.443e-03 -1.000 1.473e-02 1.853 5.243 2.957 2.043 1.753 1.580
0.01471 0.00000 9.84510 1.1334642172 2.4971158504    1.131  1.219  3.6767  2.932    3  0.000  0.430     0.00     0.00 -1 -5.36e-12      0.00 6.910e-01 2.943e-01 2.077e-03 1.281e-03 6.443e-03 -1.000 1.472e-02 1.723 5.161 2.848 1.921 1.627 1.450
0.01471 0.00000 9.84510 1.1339423656 2.4971909523    1.131  1.268  3.6745  2.873    3  0.000  0.429     0.00     0.00 -1 -6.42e-12      0.00 6.910e-01 2.943e-01 2.075e-03 1.282e-03 6.443e-03 -1.000 1.471e-02 1.599 5.084 2.743 1.806 1.507 1.326
0.01471 0.00000 9.84510 1.1343798637 2.4972593784    1.132  1.318  3.6721  2.814    3  0.000  0.429     0.00     0.00 -1  -7.7e-12      0.00 6.909e-01 2.943e-01 2.075e-03 1.283e-03 6.443e-03 -1.000 1.471e-02 1.475 5.009 2.639 1.690 1.386 1.200
